60 69 53 46 7 | 0.989067 -0.00803939 -0.13704 0.0538649 -0.00648486 0.0172475 -0.0337756
53 60 69 46 7 | 0.984462 -0.0315529 -0.163259 0.0564357 -0.00121533 0.0151057 -0.0307268
92 69 106 60 119 | 0.987036 -0.0191289 -0.131119 0.0905695 -0.0185865 0.0161077 -0.0647703
46 53 60 69 7 | 0.981052 -0.0183038 -0.18417 0.0572988 0.000755223 0.0150013 -0.0259035
119 132 106 146 92 | 0.989818 -0.0399002 -0.111274 0.0792833 -0.0341507 0.0141902 -0.104509
132 146 119 106 162 | 0.988305 -0.0371004 -0.113752 0.094534 -0.036362 0.0134365 -0.124635
146 132 162 119 178 | 0.992278 -0.0521769 -0.0586446 0.0960302 -0.0547541 0.00778433 -0.142566
162 146 132 178 195 | 0.992065 -0.0962969 -0.052378 0.0615631 -0.0597041 -0.00355977 -0.168125
69 60 53 46 92 | 0.992815 -0.0197454 -0.101368 0.0604353 -0.0111024 0.0171342 -0.0405439
106 119 132 92 146 | 0.988682 -0.0485612 -0.118746 0.0777809 -0.0253263 0.0131399 -0.0863061
494 521 467 549 440 | 0.987896 -0.0225086 -0.127519 0.0853985 -0.0692876 0.0463477 -0.76033
212 229 195 178 249 | 0.991531 -0.0523742 -0.107583 0.0504968 -0.0496424 0.0127313 -0.257462
521 494 549 467 574 | 0.987095 -0.0351379 -0.140829 0.0676493 -0.0468981 0.0355013 -0.806752
601 574 627 549 521 | 0.99217 -0.0263578 -0.104813 0.0625922 -0.118452 0.0538238 -0.940166
549 521 574 494 601 | 0.987585 -0.0297797 -0.142189 0.0597631 -0.0456588 0.0487498 -0.854077
195 212 178 229 162 | 0.992614 -0.0325472 -0.100191 0.0601677 -0.0515568 0.019846 -0.226283
178 195 162 212 146 | 0.985269 -0.0673038 -0.142613 0.0661509 -0.0295314 0.00626726 -0.203251
270 249 293 229 212 | 0.993326 -0.0313661 -0.0869222 0.0690201 -0.0741892 0.0213487 -0.358153
318 341 293 362 270 | 0.994619 -0.0156448 -0.0813613 0.0622049 -0.0898665 0.0387149 -0.440321
386 362 412 341 318 | 0.995818 0.00136175 -0.0625516 0.0665662 -0.136425 0.0624884 -0.55443
412 386 440 362 467 | 0.996637 0.00103634 -0.0438228 0.0692259 -0.167621 0.0639705 -0.594932
440 467 412 494 386 | 0.993532 -0.00659507 -0.07717 0.0830424 -0.133648 0.0565598 -0.654826
249 229 270 212 293 | 0.992933 -0.031391 -0.0970045 0.0607353 -0.0628281 0.0222064 -0.321092
362 341 386 318 412 | 0.990841 -0.0269216 -0.106402 0.0786597 -0.0793013 0.0300445 -0.5247
293 270 318 249 341 | 0.995734 -0.010947 -0.0631601 0.066374 -0.0992766 0.0376055 -0.391911
341 362 318 386 293 | 0.988283 -0.0356608 -0.128747 0.0738137 -0.0505468 0.0227189 -0.490001
229 212 249 195 270 | 0.992945 -0.0466307 -0.0970887 0.0496021 -0.0571787 0.0160594 -0.285074
467 494 440 521 412 | 0.992493 -0.0181738 -0.0961493 0.073366 -0.111841 0.0505789 -0.707461
574 549 601 521 627 | 0.992831 -0.0594993 -0.0852186 0.0590325 -0.144724 -0.00628424 -0.889804
752 738 766 724 781 | 0.964885 -0.0311517 0.234704 0.11376 -0.847421 -0.0480965 -0.865963
705 682 724 738 652 | 0.996423 -0.0285894 0.00352014 0.0794443 -0.366965 0.0350116 -1.07311
873 887 860 847 903 | 0.782909 0.025939 0.615284 0.0883571 -1.28971 0.0181023 -0.0813277
682 705 652 724 738 | 0.993853 -0.0167641 -0.0764282 0.0783196 -0.195637 0.0703059 -1.07369
738 752 724 766 705 | 0.980972 -0.0100023 0.159938 0.109603 -0.705855 0.0181408 -0.957989
860 847 873 887 836 | 0.762889 0.0362039 0.637359 0.102287 -1.28804 0.000147478 0.0184229
903 919 887 935 873 | 0.755715 0.0552637 0.646413 0.0893913 -1.30204 0.0593438 -0.0154675
627 601 652 574 549 | 0.9924 0.00331696 -0.0774818 0.0955344 -0.186452 0.091934 -0.971663
766 781 752 793 738 | 0.913857 0.00682728 0.384041 0.131647 -1.08715 -0.0358631 -0.570988
815 825 804 836 793 | 0.760367 0.0256076 0.637098 0.123661 -1.26356 -0.0627694 0.0858302
724 738 705 752 682 | 0.994427 -0.0256429 0.071295 0.0733062 -0.515281 0.0375755 -1.04804
847 860 836 873 825 | 0.768088 0.0299559 0.633548 0.0880948 -1.28292 0.0197935 0.02188
781 793 766 804 752 | 0.87495 -0.0192901 0.473592 0.0990043 -1.18656 -0.0495362 -0.372949
825 836 815 847 804 | 0.760794 0.019576 0.639087 0.111256 -1.27043 -0.0459148 0.0736528
836 825 847 815 860 | 0.744136 0.0433164 0.657934 0.107276 -1.27263 -0.00804404 0.127705
652 627 682 601 705 | 0.996006 -0.00231709 -0.0365448 0.081427 -0.270313 0.0857581 -0.99806
793 804 781 815 766 | 0.834868 0.0347723 0.536684 0.11729 -1.23901 -0.00603532 -0.193946
887 873 903 860 919 | 0.784313 0.0437394 0.609684 0.105945 -1.2919 0.0172336 -0.113732
